"","country","iso3c","WHO_region","income_g","year","doses","pop_name","vacc_scenario"
"73","Cape Verde","CPV","AFRO","Lower middle income",2023,0,"children","0"
"74","Central African Republic","CAF","AFRO","Low income",2023,0,"children","0"
"75","Chad","TCD","AFRO","Low income",2023,0,"children","0"
"76","Comoros","COM","AFRO","Lower middle income",2023,0,"children","0"
"77","Congo","COG","AFRO","Lower middle income",2023,0,"children","0"
"78","Côte d'Ivoire","CIV","AFRO","Lower middle income",2023,0,"children","0"
"79","Croatia","HRV","EURO","High income",2023,0,"children","0"
"80","Czech Republic","CZE","EURO","High income",2023,0,"children","0"
"81","Democratic Peoples Republic of Korea","PRK","SEARO","Low income",2023,0,"children","0"
"82","Democratic Republic of the Congo","COD","AFRO","Low income",2023,0,"children","0"
"83","Djibouti","DJI","EMRO","Lower middle income",2023,0,"children","0"
"84","Equatorial Guinea","GNQ","AFRO","Upper middle income",2023,0,"children","0"
"85","Eritrea","ERI","AFRO","Low income",2023,0,"children","0"
"86","Eswatini","SWZ","AFRO","Lower middle income",2023,0,"children","0"
"87","Ethiopia","ETH","AFRO","Low income",2023,0,"children","0"
"88","Fiji","FJI","WPRO","Upper middle income",2023,0,"children","0"
"89","France","FRA","EURO","High income",2023,0,"children","0"
"90","Gabon","GAB","AFRO","Upper middle income",2023,0,"children","0"
"91","Gambia","GMB","AFRO","Low income",2023,0,"children","0"
"92","Germany","DEU","EURO","High income",2023,0,"children","0"
"93","Ghana","GHA","AFRO","Lower middle income",2023,0,"children","0"
"94","Guinea","GIN","AFRO","Lower middle income",2023,0,"children","0"
"95","Guinea-Bissau","GNB","AFRO","Low income",2023,0,"children","0"
"96","Guyana","GUY","AMRO","High income",2023,0,"children","0"
"97","Haiti","HTI","AMRO","Lower middle income",2023,0,"children","0"
"98","India","IND","SEARO","Lower middle income",2023,0,"children","0"
"99","Indonesia","IDN","SEARO","Upper middle income",2023,0,"children","0"
"100","Japan","JPN","WPRO","High income",2023,0,"children","0"
"101","Kiribati","KIR","WPRO","Lower middle income",2023,0,"children","0"
"102","Kuwait","KWT","EMRO","High income",2023,0,"children","0"
"103","Lao People's Democratic Republic","LAO","WPRO","Lower middle income",2023,0,"children","0"
"104","Lebanon","LBN","EMRO","Lower middle income",2023,0,"children","0"
"105","Lesotho","LSO","AFRO","Lower middle income",2023,0,"children","0"
"106","Liberia","LBR","AFRO","Low income",2023,0,"children","0"
"107","Libya","LBY","EMRO","Upper middle income",2023,0,"children","0"
"108","Luxembourg","LUX","EURO","High income",2023,0,"children","0"
"109","Madagascar","MDG","AFRO","Low income",2023,0,"children","0"
