country,iso3c,WHO_region,income_g,year,model_age_group,vacc_scenario,doses,pop,cluster_code,hemisphere,intro_year,vacc_used
Afghanistan,AFG,EMRO,Low income,2039,3,0,0,43182043.261194386,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2039,4,0,0,1940078,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2040,1,0,0,8117589.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2040,2,0,0,19119839,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2040,3,0,0,44454760.29880134,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2040,4,0,0,2031786,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2041,1,0,0,8170925,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2041,2,0,0,19353595,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2041,3,0,0,45733947.58610709,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2041,4,0,0,2125833,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2042,1,0,0,8214750,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2042,2,0,0,19562724,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2042,3,0,0,46964308.919550896,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2042,4,0,0,2220460.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2043,1,0,0,8261690.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2043,2,0,0,19756677.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2043,3,0,0,48199859.942737944,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2043,4,0,0,2317280.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2044,1,0,0,8316050.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2044,2,0,0,19941834,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2044,3,0,0,49452638.425878115,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2044,4,0,0,2416888,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2045,1,0,0,8369421,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2045,2,0,0,20118644,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2045,3,0,0,50699148.59913975,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2045,4,0,0,2519330,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2046,1,0,0,8429313,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2046,2,0,0,20293518,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2046,3,0,0,51995597.049723476,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2046,4,0,0,2625460,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2047,1,0,0,8494202,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2047,2,0,0,20465029,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2047,3,0,0,53298936.59778938,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2047,4,0,0,2732995,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2048,1,0,0,8559227,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2048,2,0,0,20631550,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2048,3,0,0,54581450.453208506,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2048,4,0,0,2842440,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2049,1,0,0,8628983.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2049,2,0,0,20800623.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2049,3,0,0,55912369.929588094,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2049,4,0,0,2958217.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2050,1,0,0,8692323.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2050,2,0,0,20961277.5,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2050,3,0,0,57205241.87689722,TUR,NH,2010,0
Afghanistan,AFG,EMRO,Low income,2050,4,0,0,3080611.5,TUR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2025,1,0,1380.2899999999997,138029,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2025,2,0,4181.315,418131.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2025,3,0,328345.4710029022,2207275.962475622,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2025,4,0,122490.2184,488398,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2026,1,0,1342.8400000000001,134284,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2026,2,0,4108.18,410818,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2026,3,0,323668.5279691005,2174871.5934490208,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2026,4,0,126445.9614,504170.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2027,1,0,1306.075,130607.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2027,2,0,4034.8900000000003,403489,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2027,3,0,319218.072840743,2144094.4189883103,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2027,4,0,130248.3402,519331.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2028,1,0,1270.25,127025,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2028,2,0,3957.8149999999996,395781.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2028,3,0,315053.3776413393,2115274.470478234,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2028,4,0,133794.4014,533470.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2029,1,0,1234.885,123488.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2029,2,0,3870.7900000000004,387079,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2029,3,0,311257.7731269797,2089020.801030581,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2029,4,0,137012.2908,546301,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2030,1,0,1200.3,120030,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2030,2,0,3766.9299999999994,376693,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2030,3,0,307940.6998037583,2066102.4962084708,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2030,4,0,139891.4748,557781,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2031,1,0,1166.605,116660.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2031,2,0,3648.315,364831.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2031,3,0,305066.53134575207,2046312.4125644965,GBR,NH,2010,0
